date,deviceid,window,rpm,angle,temperature,humidity,windspeed,winddirection,power,maintenance
2019-06-30,WindTurbine-6,2019-06-30T00:00:00.000+0000,7.702201330331957,7.807382127444014,28.065785294715628,77.24060299015406,7.724060299015406,E,169.77860546604282,true
2019-06-30,WindTurbine-6,2019-06-30T00:05:00.000+0000,7.2564099648668385,7.355503061962454,26.441381541452156,72.77003770633982,7.277003770633982,E,150.69430883605895,true
2019-06-30,WindTurbine-6,2019-06-30T00:10:00.000+0000,7.984493457962833,8.093529219354483,29.09441982459686,80.07153576150537,8.007153576150536,E,182.45172241278453,true
2019-06-30,WindTurbine-6,2019-06-30T00:15:00.000+0000,7.6938833595328555,7.798950566937051,28.03547572833024,77.1571872168417,7.71571872168417,SE,169.41209961556117,true
2019-06-30,WindTurbine-6,2019-06-30T00:20:00.000+0000,7.7586789721567,7.86463102454129,28.271582222298242,77.80698225277158,7.780698225277157,SW,172.2775924929286,true
2019-06-30,WindTurbine-6,2019-06-30T00:25:00.000+0000,7.830575016300974,7.937508876730821,28.533561733343518,78.52798311527062,7.852798311527061,S,175.4852172518871,true
2019-06-30,WindTurbine-6,2019-06-30T00:30:00.000+0000,7.8809730828868485,7.988595176276216,28.717205506779774,79.03339408619664,7.903339408619663,SW,177.75135384695508,true
2019-06-30,WindTurbine-6,2019-06-30T00:35:00.000+0000,7.965424244648858,8.074199598012902,29.02493417709742,79.88030244108842,7.988030244108841,SW,181.58127116472485,true
2019-06-30,WindTurbine-6,2019-06-30T00:40:00.000+0000,8.404898265688045,8.51967504979383,30.62631837728939,84.28751499341357,8.428751499341356,NE,202.17067025383176,true
2019-06-30,WindTurbine-6,2019-06-30T00:45:00.000+0000,8.677046471642473,8.795539695244871,31.61798982147505,87.01672066190557,8.701672066190556,NW,215.47509241818165,true
2019-06-30,WindTurbine-6,2019-06-30T00:50:00.000+0000,7.419641783893124,7.5209639648704645,27.036176326680156,74.4069884413353,7.4406988441335296,NW,157.55025318427855,true
2019-06-30,WindTurbine-6,2019-06-30T00:55:00.000+0000,7.117937722061688,7.2151398505560564,25.936807320502833,71.38138541422843,7.138138541422843,W,144.9978613166021,true
2019-06-30,WindTurbine-6,2019-06-30T01:00:00.000+0000,5.979093793437474,6.060743937887073,21.78701327927383,59.960625557926534,5.996062555792653,S,102.31138440073236,true
2019-06-30,WindTurbine-6,2019-06-30T01:05:00.000+0000,7.77190054727603,7.8780331526935115,28.319759863032687,77.93957323434914,7.793957323434913,S,172.86524972778147,true
